Algorithm,size_label,runs,ok_runs,timeout_runs,error_runs,solved_rate,mean_time_ms,median_time_ms,p95_time_ms,mean_mem_bytes,median_mem_bytes,mean_solution_count,median_solution_count,ok_rate,timeout_rate,error_rate
backjump_backtracking,4x4,100,0,0,0,1.0,0.161554,0.1436,0.24874999999999997,1024.0,1024.0,4.95,4.0,0.0,0.0,0.0
baseline,4x4,100,0,0,0,1.0,0.16317299999999998,0.14015,0.25791,1024.0,1024.0,4.95,4.0,0.0,0.0,0.0
connectivity_pruning,4x4,100,0,0,0,1.0,0.144792,0.13415,0.21861999999999998,12272.8,11360.0,4.95,4.0,0.0,0.0,0.0
warnsdorff_heuristic,4x4,100,0,0,0,1.0,0.210591,0.18214999999999998,0.33287,1024.0,1024.0,4.95,4.0,0.0,0.0,0.0
backjump_backtracking,5x5,100,0,0,0,1.0,7.166874,6.0639,12.231339999999992,1616.0,1616.0,50.9,48.0,0.0,0.0,0.0
baseline,5x5,100,0,0,0,1.0,7.323184,6.0497,12.630134999999992,1616.0,1616.0,50.9,48.0,0.0,0.0,0.0
connectivity_pruning,5x5,100,0,0,0,1.0,3.380786,2.87725,4.952385,255746.4,229872.0,50.9,48.0,0.0,0.0,0.0
warnsdorff_heuristic,5x5,100,0,0,0,1.0,9.447538,7.71965,15.58252999999999,1616.0,1616.0,50.9,48.0,0.0,0.0,0.0
backjump_backtracking,6x6,50,0,0,0,1.0,1039.3370260000002,1011.8747,1252.415315,2624.0,2624.0,659.2,670.0,0.0,0.0,0.0
baseline,6x6,50,0,0,0,1.0,1076.503464,1043.1680999999999,1332.3381399999998,2624.0,2624.0,659.2,670.0,0.0,0.0,0.0
connectivity_pruning,6x6,50,0,0,0,1.0,125.580566,126.1986,163.492885,8179809.6,8444172.0,659.2,670.0,0.0,0.0,0.0
warnsdorff_heuristic,6x6,50,0,0,0,1.0,1372.503978,1336.4027999999998,1666.852695,2624.0,2624.0,659.2,670.0,0.0,0.0,0.0
